state,gov_position
Alabama,Opposes
Alaska,Opposes
Arizona,Supports
Arkansas,Supports
California,Supports
Colorado,Supports
Connecticut,Supports
Delaware,Supports
District of Columbia,Supports
Florida,Supports
Georgia,Opposes
Hawaii,Supports
Idaho,Opposes
Illinois,Supports
Indiana,Opposes
Iowa,Supports
Kansas,Weighing Options
Kentucky,Supports
Louisiana,Opposes
Maine,Weighing Options
Maryland,Supports
Massachusetts,Supports
Michigan,Supports
Minnesota,Supports
Mississippi,Opposes
Missouri,Supports
Montana,Supports
Nebraska,Opposes
Nevada,Supports
New Hampshire,Supports
New Jersey,Supports
New Mexico,Supports
New York,Supports
North Carolina,Opposes
North Dakota,Supports
Ohio,Supports
Oklahoma,Opposes
Oregon,Supports
Pennsylvania,Weighing Options
Rhode Island,Supports
South Carolina,Opposes
South Dakota,Opposes
Tennessee,Weighing Options
Texas,Opposes
Utah,Weighing Options
Vermont,Supports
Virginia,Opposes
Washington,Supports
West Virginia,Supports
Wisconsin,Opposes
Wyoming,Opposes