state_abbr,obama_share_12
AL,38.7837715
AK,42.6847095
AZ,45.3866198
AR,37.8455946
CA,61.8728112
CO,52.7480072
CT,58.7725775
DE,59.4469549
DC,92.5876492
FL,50.4422521
GA,46.0433509
HI,71.7038485
ID,33.5786132
IL,58.5775234
IN,44.7996254
IA,52.9593519
KS,38.8866733
KY,38.4572276
LA,41.2531744
ME,57.8599214
MD,63.3217258
MA,61.7856807
MI,54.8005321
MN,53.9412265
MS,44.1981008
MO,45.2213332
MT,42.9657681
NE,38.8706097
NV,53.4075422
NH,52.833752
NJ,58.9868511
NM,55.2952046
NY,64.3008945
NC,48.9659651
ND,39.8821049
OH,51.5145989
OK,33.2276803
OR,56.2711672
PA,52.731934
RI,64.016746
SC,44.6917453
SD,40.7815009
TN,39.6489285
TX,41.9921028
UT,25.3738111
VT,68.2472588
VA,51.9673767
WA,57.6282983
WV,36.3257024
WI,53.5163824
WY,28.839366