state,percent_poverty,percent_poverty138
Alabama,22,31
Alaska,20,29
Arizona,23,32
Arkansas,24,35
California,23,32
Colorado,17,23
Connecticut,15,21
Delaware,19,27
District of Columbia,24,31
Florida,21,30
Georgia,22,30
Hawaii,24,34
Idaho,19,29
Illinois,19,27
Indiana,20,27
Iowa,14,22
Kansas,18,25
Kentucky,22,31
Louisiana,26,34
Maine,16,24
Maryland,15,21
Massachusetts,16,22
Michigan,19,26
Minnesota,13,19
Mississippi,27,36
Missouri,19,26
Montana,18,26
Nebraska,14,20
Nevada,21,29
New Hampshire,11,16
New Jersey,16,23
New Mexico,27,35
New York,22,31
North Carolina,21,29
North Dakota,13,18
Ohio,19,27
Oklahoma,20,28
Oregon,19,27
Pennsylvania,18,25
Rhode Island,18,26
South Carolina,23,32
South Dakota,16,23
Tennessee,22,30
Texas,23,32
Utah,15,23
Vermont,14,21
Virginia,16,22
Washington,16,24
West Virginia,21,30
Wisconsin,16,22
Wyoming,14,21